,date,code,book_to_price_ratio,leverage,earnings_yield,beta,growth,residual_volatility,non_linear_size,liquidity,momentum,size
0,2010-03-01,000001.XSHE,-0.107842,0.816368,0.156749,-0.031253,0.754144,0.348866,-1.218752,-0.111468,0.065426,1.002207
23,2010-04-01,000001.XSHE,-0.032752,0.64372,1.368255,0.057883,0.445327,0.382864,-1.227812,-0.076972,0.065466,1.018679
44,2010-05-04,000001.XSHE,0.147767,0.624626,1.396607,0.221069,0.488431,0.132476,-1.193347,-0.033192,0.007976,0.978722
64,2010-06-01,000001.XSHE,0.309001,0.681799,1.481077,0.446818,0.494708,-0.06424,-1.105327,0.149357,-0.092851,0.915344
83,2010-07-01,000001.XSHE,-0.186739,0.684386,1.451744,0.464328,0.502967,0.036435,-1.276847,0.256683,-0.267758,1.094853
105,2010-08-02,000001.XSHE,0.14529,0.714307,1.356653,-0.451551,0.493474,-0.115669,-1.223344,-0.263715,0.031979,1.030784
127,2010-09-01,000001.XSHE,1.063684,0.642545,1.255709,-1.190288,0.505102,-0.289823,-1.264783,-1.068414,-0.525399,1.070526
146,2010-10-08,000001.XSHE,1.259252,0.711154,1.286537,-0.880297,0.524042,-0.255701,-1.167397,-0.537703,-0.551205,0.959462
162,2010-11-01,000001.XSHE,1.456251,0.677505,1.275271,-0.806038,0.49726,-0.484139,-1.060663,-0.306687,-0.487285,0.86165
184,2010-12-01,000001.XSHE,1.549128,0.724946,1.18986,-0.710185,0.371499,-0.473531,-0.891896,-0.123994,-0.65167,0.731953
207,2011-01-04,000001.XSHE,1.607871,0.723859,1.203286,-0.878459,0.39302,-0.625574,-0.799175,-0.186651,-0.815323,0.674019
227,2011-02-01,000001.XSHE,1.615482,0.726935,1.205598,-0.702823,0.392476,-0.500782,-0.794738,-0.043678,-0.760475,0.675555
242,2011-03-01,000001.XSHE,1.965224,1.245808,1.213264,-0.722321,0.231145,-0.557645,-0.827234,-0.18104,-0.606683,0.690864
265,2011-04-01,000001.XSHE,1.767195,1.124968,1.207141,-0.613941,0.48874,-0.653703,-0.905356,-0.147118,-0.606018,0.744024
284,2011-05-03,000001.XSHE,1.45244,1.123492,1.208916,-0.911401,0.500792,-0.229338,-1.066431,0.457873,-0.660048,0.8499
305,2011-06-01,000001.XSHE,1.32966,1.125651,1.29854,-0.985146,0.486966,-0.120221,-1.104204,0.188275,-0.151912,0.885771
326,2011-07-01,000001.XSHE,1.574685,1.164062,1.331358,-0.763899,0.478926,-0.195098,-1.060954,0.266412,-0.066461,0.859266
347,2011-08-01,000001.XSHE,1.443667,1.162219,1.315547,-0.463496,0.513979,-0.159159,-1.119803,0.101457,-0.275639,0.916055
370,2011-09-01,000001.XSHE,2.055651,1.304647,1.288073,-0.012737,0.600876,-0.299957,-1.221817,0.403859,-0.264354,1.015541
391,2011-10-10,000001.XSHE,2.073215,1.288591,1.325407,-0.028861,0.572444,-0.224386,-1.171397,0.483285,-0.004203,0.973766
407,2011-11-01,000001.XSHE,2.100539,1.241594,1.357985,-0.038504,0.57298,-0.462328,-1.184017,0.434542,0.092829,0.986743
429,2011-12-01,000001.XSHE,2.113977,1.249313,1.362843,-0.188559,0.560981,-0.421698,-1.18571,0.417679,0.18217,0.987644
451,2012-01-04,000001.XSHE,1.734003,1.208241,1.445604,-0.306333,0.546602,-0.405749,-1.103674,0.514172,0.080305,0.888511
466,2012-02-01,000001.XSHE,1.546336,1.216603,1.459947,-1.089037,0.546478,0.225636,-1.096263,0.358923,0.240025,0.873207
487,2012-03-01,000001.XSHE,1.807955,1.285361,1.393545,-1.14197,0.583788,0.072447,-1.162693,0.483266,0.505448,0.938423
509,2012-04-05,000001.XSHE,2.031905,1.267986,0.973954,-1.167376,0.624998,-0.188256,-1.129599,0.448335,0.346343,0.909528
526,2012-05-02,000001.XSHE,2.141562,1.394659,1.316549,-1.030653,0.641598,-0.192391,-1.125561,0.449703,0.083168,0.903649
548,2012-06-01,000001.XSHE,2.15778,1.400453,1.355726,-0.93987,0.628176,-0.504037,-1.156061,0.260114,0.041255,0.933265
568,2012-07-02,000001.XSHE,2.208187,1.40864,1.392718,-0.740885,0.642797,-0.435624,-1.154782,0.495443,-0.155597,0.941085
590,2012-08-01,000001.XSHE,1.910039,1.39158,1.466061,-0.963931,0.649343,-0.410653,-1.11105,0.3452,-0.075663,0.897514
613,2012-09-03,000001.XSHE,2.150703,1.418165,1.371403,-1.043055,0.668618,-0.346188,-1.13959,0.418863,0.129946,0.951736
633,2012-10-08,000001.XSHE,2.245155,1.457431,1.419861,-0.849278,0.659471,-0.260661,-1.116673,0.334725,0.03168,0.925749
651,2012-11-01,000001.XSHE,2.165451,1.426663,1.405169,-0.6932,0.865589,-0.34283,-1.124899,0.298609,-0.404802,0.934642
673,2012-12-03,000001.XSHE,2.246804,1.354396,1.428094,-0.605082,0.898755,-0.362999,-1.065278,0.352942,-0.330912,0.869722
694,2013-01-04,000001.XSHE,2.023215,1.344552,1.403225,0.264654,0.879856,-0.40869,-1.098532,0.652887,-0.111055,0.899059
714,2013-02-01,000001.XSHE,0.89319,1.347013,1.369825,1.723869,0.944715,0.477804,-1.101685,1.193928,0.362881,0.902767
729,2013-03-01,000001.XSHE,0.776701,1.381131,1.335482,1.713451,0.670738,1.038055,-1.130661,1.376564,1.409794,0.944317
750,2013-04-01,000001.XSHE,1.09738,1.461947,1.358012,3.073673,0.708256,1.013979,-1.125125,1.695405,1.954339,0.953212
768,2013-05-02,000001.XSHE,1.307269,1.495145,1.467628,3.222257,0.79687,0.697424,-1.120402,1.72299,1.546397,0.935646
790,2013-06-03,000001.XSHE,1.21557,1.523572,1.434973,3.166877,0.763946,0.209753,-1.165634,1.490743,0.864794,0.992058
807,2013-07-01,000001.XSHE,1.704221,1.535247,1.476238,3.098073,0.763998,-0.081179,-1.157226,1.385773,0.856388,0.982782
830,2013-08-01,000001.XSHE,1.709381,1.497981,1.423801,3.131809,0.764186,-0.159739,-1.159356,1.337973,-0.331755,0.97971
852,2013-09-02,000001.XSHE,1.719179,1.494428,1.527165,2.848735,0.765992,-0.168899,-1.193061,1.468905,-0.214489,1.022403
871,2013-10-08,000001.XSHE,1.376883,1.426695,1.545763,3.032006,0.769094,-0.092602,-1.189152,1.479939,-0.06039,1.012665
889,2013-11-01,000001.XSHE,0.844571,1.410401,1.447969,2.184669,0.749031,-0.026492,-1.172916,1.613533,0.241236,0.996516
910,2013-12-02,000001.XSHE,0.951344,1.429216,1.478982,1.767427,0.741897,-0.243182,-1.175876,1.525889,1.085129,0.995284
932,2014-01-02,000001.XSHE,1.312591,1.506433,1.474196,1.640861,0.743436,-0.171324,-1.223969,1.294913,0.67627,1.056727
953,2014-02-07,000001.XSHE,1.432233,1.48606,1.494912,1.290506,0.796031,-0.405903,-1.236576,1.063561,0.205121,1.081152
969,2014-03-03,000001.XSHE,1.592349,1.540067,1.479851,0.595046,0.769136,-0.269566,-1.260696,1.028533,0.002334,1.114446
990,2014-04-01,000001.XSHE,1.699846,1.597503,1.3307,0.703087,0.040832,-0.292091,-1.234141,1.106924,-0.200872,1.09474
1011,2014-05-05,000001.XSHE,1.630633,1.613468,1.31982,0.55394,0.099465,-0.244579,-1.207804,1.219045,-0.273631,1.062432
1031,2014-06-03,000001.XSHE,1.460204,1.602957,1.353551,0.381724,0.093135,-0.23517,-1.223904,1.08749,-0.014644,1.095195
1051,2014-07-01,000001.XSHE,1.422159,1.648841,1.531328,0.312475,0.161635,-0.34239,-1.254558,1.057599,0.045212,1.13258
1074,2014-08-01,000001.XSHE,1.435156,1.636098,1.417871,0.555139,0.134286,-0.595443,-1.267404,0.980778,0.09058,1.12968
1095,2014-09-01,000001.XSHE,1.884389,1.638725,1.30569,0.395908,0.138907,-0.611926,-1.294039,0.745725,0.147198,1.174275
1116,2014-10-08,000001.XSHE,1.897502,1.670911,1.424452,0.056202,0.152075,-0.689755,-1.331227,0.239971,-0.224589,1.240497
1134,2014-11-03,000001.XSHE,1.810323,1.655324,1.0237,-0.202757,0.164974,-0.578229,-1.325133,0.443935,-0.475832,1.249632
1154,2014-12-01,000001.XSHE,1.773678,1.570684,0.957223,-0.094955,0.162865,-0.281954,-1.271495,0.596118,-0.114848,1.163048
1177,2015-01-05,000001.XSHE,1.525262,1.446911,1.420681,0.883844,0.142823,-0.516154,-1.12166,0.68032,0.029217,0.949679
1197,2015-02-02,000001.XSHE,1.894575,1.55261,1.41655,0.733019,0.146795,-0.587104,-1.21249,0.371651,0.26181,1.054694
1212,2015-03-02,000001.XSHE,1.920936,1.560177,1.467764,0.596458,0.152078,-0.83438,-1.248304,0.112182,-0.181701,1.064218
1234,2015-04-01,000001.XSHE,1.917006,1.587723,1.411114,0.497778,-0.111432,-0.870068,-1.319794,0.057625,-0.229515,1.123351
1255,2015-05-04,000001.XSHE,1.991178,1.582521,1.329806,0.183822,-0.081502,-0.910691,-1.332909,0.086402,-0.276267,1.085649
1275,2015-06-01,000001.XSHE,2.050903,1.708701,1.353501,-0.490101,-0.03925,-1.250747,-1.53689,-0.262718,-0.10058,1.254611
1296,2015-07-01,000001.XSHE,1.813806,1.6229,1.175633,-0.790264,-0.064753,-0.892852,-1.333578,-0.141778,-0.181607,1.168863
1319,2015-08-03,000001.XSHE,1.770201,1.55483,1.210046,-0.935264,-0.106166,-0.76269,-1.203708,-0.069998,-0.106746,1.074674
1340,2015-09-01,000001.XSHE,1.742669,1.509566,1.153315,-1.068372,-0.122354,-0.438074,-1.149968,-0.173042,-0.129974,1.061939
1360,2015-10-08,000001.XSHE,1.80646,1.579545,1.134612,-1.021995,-0.10031,-0.598955,-1.237607,-0.298356,-0.207046,1.15145
1377,2015-11-02,000001.XSHE,1.920462,1.615989,1.20593,-0.9542,-0.073952,-0.892151,-1.289547,-0.609301,-0.287615,1.226655
1398,2015-12-01,000001.XSHE,1.959076,1.662726,1.222226,-0.846428,-0.052601,-0.922937,-1.343678,-0.533636,-0.470621,1.317039
1421,2016-01-04,000001.XSHE,1.941866,1.671549,1.275873,-0.833832,0.557704,-1.068231,-1.368256,-0.590001,-0.390526,1.345042
1441,2016-02-01,000001.XSHE,1.806021,1.623115,1.225136,-1.02766,0.682243,-1.18661,-1.23014,-0.570499,-0.293795,1.272407
1457,2016-03-01,000001.XSHE,1.807435,1.653335,1.157934,-1.106307,-0.084026,-1.212804,-1.226269,-0.648133,-0.177193,1.281595
1480,2016-04-01,000001.XSHE,1.830675,1.661388,1.288578,-1.133004,-0.343196,-1.311279,-1.294565,-0.667179,-0.194602,1.291404
1500,2016-05-03,000001.XSHE,1.809282,1.680078,1.298064,-1.115771,-0.345438,-1.298795,-1.313791,-0.689464,-0.173325,1.326408
1521,2016-06-01,000001.XSHE,1.830133,1.681659,1.332721,-1.150901,-0.344027,-1.249526,-1.289788,-0.663618,-0.154089,1.294437
1541,2016-07-01,000001.XSHE,1.884336,1.717757,1.382895,-1.188465,-0.302338,-1.213001,-1.313027,-0.768014,-0.135467,1.334123
1562,2016-08-01,000001.XSHE,1.875858,1.707348,1.361832,-1.168406,-0.289494,-1.224451,-1.309178,-0.840664,-0.142845,1.310283
1585,2016-09-01,000001.XSHE,1.898175,1.698599,0.780531,-1.112796,-0.291192,-1.243365,-1.322957,-0.492993,-0.056332,1.345528
1605,2016-10-10,000001.XSHE,1.895279,1.695636,0.770634,-1.052478,-0.292028,-1.379198,-1.310381,-0.417571,-0.066554,1.356195
1621,2016-11-01,000001.XSHE,1.872927,1.696237,0.850419,-1.067377,-0.382051,-1.419132,-1.311811,-0.236084,-0.090722,1.37476
1643,2016-12-01,000001.XSHE,1.889551,1.686544,0.857771,-1.065979,-0.396495,-1.241033,-1.289191,-0.372266,-0.115743,1.345296
1665,2017-01-03,000001.XSHE,1.818072,1.684531,0.72273,-0.984272,0.111161,-1.081826,-1.299362,-0.312611,-0.087531,1.336538
1683,2017-02-03,000001.XSHE,1.786011,1.667684,0.693313,-0.920894,0.113618,-1.014998,-1.318778,-0.356488,-0.097048,1.290057
1701,2017-03-01,000001.XSHE,1.779117,1.680326,0.641759,-0.8833,0.111606,-0.916976,-1.247276,-0.446721,-0.069285,1.28445
1724,2017-04-05,000001.XSHE,1.788527,1.710059,1.405094,-0.870855,-0.431219,-0.877344,-1.278813,-0.40127,-0.075048,1.263194
1742,2017-05-02,000001.XSHE,1.801709,1.701352,0.940565,-0.852592,-0.536767,-0.950752,-1.255346,-0.659068,-0.102974,1.196458
