,date,book_to_price_ratio_predict,leverage_predict,earnings_yield_predict,beta_predict,growth_predict,residual_volatility_predict,non_linear_size_predict,liquidity_predict,momentum_predict,size_predict
0,2018-12-03,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302,1.0978302
1,2019-01-02,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705,1.0748705
2,2019-02-01,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412,1.0265412
3,2019-03-01,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316,1.1327316
4,2019-04-01,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104,1.0847104
5,2019-05-06,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344,1.0926344
6,2019-06-03,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773,1.0214773
7,2019-07-01,1.031484,1.031484,1.031484,1.031484,1.031484,1.031484,1.031484,1.031484,1.031484,1.031484
8,2019-08-01,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507,1.1146507
9,2019-09-02,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536,1.0802536
10,2019-10-08,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151,1.0532151
11,2019-11-01,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325,1.0132325
12,2019-12-02,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831,0.9986831
