,2010/3/1,2010/4/1,2010/5/4,2010/6/1,2010/7/1,2010/8/2,2010/9/1,2010/10/8,2010/11/1,2010/12/1,2011/1/4,2011/2/1,2011/3/1,2011/4/1,2011/5/3,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/10,2011/11/1,2011/12/1,2012/1/4,2012/2/1,2012/3/1,2012/4/5,2012/5/2,2012/6/1,2012/7/2,2012/8/1,2012/9/3,2012/10/8,2012/11/1,2012/12/3,2013/1/4,2013/2/1,2013/3/1,2013/4/1,2013/5/2,2013/6/3,2013/7/1,2013/8/1,2013/9/2,2013/10/8,2013/11/1,2013/12/2,2014/1/2,2014/2/7,2014/3/3,2014/4/1,2014/5/5,2014/6/3,2014/7/1,2014/8/1,2014/9/1,2014/10/8,2014/11/3,2014/12/1,2015/1/5,2015/2/2,2015/3/2,2015/4/1,2015/5/4,2015/6/1,2015/7/1,2015/8/3,2015/9/1,2015/10/8,2015/11/2,2015/12/1,2016/1/4,2016/2/1,2016/3/1,2016/4/1,2016/5/3,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/10,2016/11/1,2016/12/1,2017/1/3,2017/2/3,2017/3/1,2017/4/5,2017/5/2,2017/6/1,2017/7/3,2017/8/1,2017/9/1,2017/10/9,2017/11/1,2017/12/1,2018/1/2,2018/2/1,2018/3/1,2018/4/2,2018/5/2,2018/6/1,2018/7/2,2018/8/1,2018/9/3,2018/10/8,2018/11/1,2018/12/3,2019/1/2,2019/2/1,2019/3/1,2019/4/1,2019/5/6,2019/6/3,2019/7/1,2019/8/1,2019/9/2,2019/10/8,2019/11/1,2019/12/2,2020/1/2,2020/2/3,2020/3/2,2020/4/1,2020/5/6,2020/6/1,2020/7/1,2020/8/3,2020/9/1,2020/10/9,2020/11/2,2020/12/1,2021/1/4
const,0.055189813,0.011837854,-0.108113257,-0.089054252,-0.07973695,0.149820998,-0.001157784,0.053070484,0.122365161,-0.079514479,0.019395323,-0.018175846,0.042302199,-0.000603934,-0.006078266,-0.060745489,0.020464286,-0.023163513,-0.049225377,-0.094031337,0.04482961,-0.040063687,-0.104107364,0.040929749,0.077172629,-0.037578017,0.054404453,-0.011711797,-0.04116884,-0.040117763,-0.054106172,0.004187028,0.019338324,-0.068126066,0.158935468,0.066481579,-0.01491019,-0.043643462,-0.02553789,0.056497726,-0.136582847,0.024399639,0.041962014,0.058394032,-0.004167266,0.011701133,-0.019795711,-0.05384404,-0.004066187,-0.007310341,-0.004995299,-0.0023643,0.012264986,0.086075628,0.022083052,0.07894904,0.028768762,0.11534771,0.27759788,-0.067018602,0.079113696,0.154812772,0.186949867,0.069954969,-0.13279984,-0.089379402,-0.132688845,-0.03354816,0.042497144,0.039591661,-0.054447727,-0.182830816,0.014165461,0.085101078,-0.004094876,-0.028625316,0.00343724,0.031284042,0.034011312,-0.002200265,0.016869014,0.057405294,-0.050933231,0.009591517,0.032699224,0.015632556,-0.021488401,-0.001775746,0.049781531,0.035570477,0.013957477,0.003213026,0.016501633,-0.009588368,0.015478493,0.028769755,-0.040443848,-0.046029786,-0.028482977,-0.007344515,-0.085700433,0.0142254,-0.039471133,-0.013373697,-0.039958736,0.011474159,-0.078875461,0.071211589,0.148725627,0.069156003,-0.095312546,-0.014260361,0.064571139,-0.02538652,0.005247397,-0.007326806,0.019042025,-0.016546972,0.084414635,-0.117089679,0.108121476,-0.089026364,0.058484718,0.004290962,0.065513167,0.143744295,0.017835478,-0.04087184,-0.002898085,0.068963089,0.018514206
book_to_price_ratio,0.004287433,-0.006591292,-0.018801732,-0.006000009,0.001531947,-0.005554954,-0.016227877,-0.024928415,-0.006863573,-0.010143848,-0.002258945,0.012516488,0.004020531,0.009920224,0.00924748,-0.003250125,0.004529608,-0.014104105,-0.019020987,0.008785453,0.007666561,-0.012592772,0.013289208,0.005472087,0.000708293,-0.008184408,0.009849534,-0.003403951,-0.01956568,0.004417492,-0.00718411,0.002106672,0.009492081,0.010862959,0.004186932,-0.002007138,-0.007022821,-0.008305859,0.000117491,-0.005528983,-0.016299689,-0.000759147,0.011218685,0.011617303,0.003777987,0.007603468,-0.013957569,-0.001632545,-0.014443583,0.005244561,0.001079958,0.004192064,-0.00979081,0.003698001,-0.005528103,0.014726238,0.016125895,0.014131913,0.064530243,-0.052914423,-0.002668105,-0.008217694,0.027832322,-0.042482324,0.020427828,-0.013657851,-0.001616793,-0.008398136,-0.015053659,-0.007094632,-0.004327938,0.005105915,0.01858592,-0.0020594,-0.007486393,-0.006414726,-0.006577739,0.010883567,-0.001019108,-0.003407508,0.009989229,0.020816721,0.006010143,0.012830013,0.006857141,-0.008599584,-0.007182273,-0.001643816,-0.003248285,0.018471454,-0.004329793,-0.018332742,-0.021326633,0.008393581,-0.00123429,0.006346084,-0.008649213,-0.013724918,0.003754357,-0.010450541,0.007459562,0.011608429,0.012535853,0.015390013,0.010852471,0.001458043,-0.005477216,-0.000671123,0.019543244,-0.019017959,0.004303868,-0.00263308,-0.005090647,-0.005723579,-0.010182017,-0.010060721,-0.008330226,-0.004615207,-0.012526317,-0.011664982,0.00553123,-0.001277227,-0.012551428,-0.008486193,-0.016573458,-0.016584367,-0.025630469,0.00419914,-0.006277655,0.016588864,-0.00772002
leverage,0.007926163,0.003864479,-0.012016463,-0.002002666,0.003004502,0.001176149,-0.006508769,0.004627987,0.010948359,-0.00858508,0.01051107,-0.000937106,0.002323554,0.016972104,0.01105276,-0.00288951,-0.000517903,-0.008263238,-0.001927033,-0.007836188,-0.001351195,-0.005814892,-0.003269872,0.006070011,0.003235561,-0.00633406,0.004374775,0.000121293,-0.000227558,-0.011850446,-0.007266101,-0.004258115,0.006705798,0.015574943,0.005564854,-0.01475435,-0.010993013,-0.00377763,-0.003843884,-0.009371027,-0.010112703,-0.017418258,-0.004675464,-0.005342951,0.00147267,-0.00966355,-0.01197934,-0.005628275,-0.006656742,0.008078575,-0.007003078,-0.000978138,0.000368345,0.011875398,0.002657278,0.001981155,0.008403895,0.032693109,0.044339261,-0.014281972,-0.001770944,0.006649231,0.023972668,-0.026103664,0.015980164,-0.009464964,0.006894057,-0.01701835,-0.003742374,0.004066273,-0.011488297,0.001743047,0.006816809,-0.017489015,-0.002677563,-0.009059986,-0.0012875,-0.007984864,0.005843283,-0.001681371,0.000956067,0.00569214,0.000618661,0.000116028,0.000662704,-0.002463975,0.003280431,-0.00877429,-0.010540794,0.014721545,-0.00283561,-0.004678429,-0.003611679,-0.002766045,-0.003848015,0.006427303,-0.018920867,-0.002625164,-0.004101105,-0.009057766,-0.003975684,0.003435748,0.006793831,-0.009684163,0.009019111,-0.002082133,0.000314354,-0.001163942,0.013866357,2.14E-05,0.000119053,-0.012897931,-0.011393031,-0.000608288,-0.011818191,0.005488857,0.000604632,-0.004657485,0.003838633,-0.015326123,-0.014427525,-0.006318619,-0.010772746,-0.004856218,0.001513123,0.008599514,0.007247921,0.002416812,-0.000822331,0.016073423,-0.002329548
earnings_yield,-0.006929248,0.004250781,-0.026540117,0.000319472,0.009924266,0.019498078,-0.007768779,-0.01236264,0.011751425,-0.005196983,0.012878917,0.003466345,-0.002351881,0.01230585,-0.002348697,-0.00640061,0.010283402,-0.003910167,0.004846655,-0.008288047,1.27E-06,-0.009873791,0.021863234,0.012189595,0.009093425,-0.005277742,0.002935023,-0.002239825,-0.003419024,0.003433524,-0.004402475,-0.001000091,0.01111441,0.010407556,0.015272718,-0.007527326,-0.006190407,-0.002284628,0.001296355,0.001826209,0.00367461,-0.010098995,0.004349201,-0.008647661,0.009354892,-0.011426306,0.001554563,-0.006988631,0.006645058,0.024840804,-0.003766373,-0.008243897,-0.006710166,-5.79E-06,-0.005215928,-0.017945919,-0.000661484,-0.00788851,0.002417412,0.018603581,-7.03E-05,0.014363669,-0.014322634,-0.004597309,0.004810399,0.033256157,-0.015222358,0.016850871,0.018718247,0.026691721,0.01012582,-0.001325832,-0.005677337,0.023363828,0.001132077,0.001555407,0.00444463,0.009370802,0.00493209,0.003519601,-0.003974661,0.00330264,-0.004474981,0.002553195,0.002305529,0.014821473,0.010008416,0.016494201,0.010928739,-0.002261127,-0.00480999,0.005744496,0.010464677,0.007205183,0.009441805,0.027955361,-0.001048463,-0.019622363,-0.005506889,0.009818156,-0.000299233,0.009689837,-0.006151742,0.002170511,-0.003641092,0.001510126,0.000628544,0.009317619,-0.02125253,0.007040283,0.002060851,-0.0068325,0.002118673,-0.003537493,-0.016690319,0.012863487,0.005169062,0.010886431,0.006402182,-0.014263818,0.001988863,-0.008237913,-0.003364142,-0.016377894,0.001371089,-0.01371745,0.007574333,0.002509833,0.001890483,0.00228964,-0.021284286
beta,0.004180683,0.012434592,-0.008344525,-0.013182339,-0.006578179,0.039574431,-0.005296993,0.007962799,0.053143468,-0.031353992,0.017064179,-0.005579596,0.023470597,0.005681753,-0.020435446,-0.009882962,0.017873727,-0.004581978,-0.019058746,0.005590649,-0.003481441,-0.01615881,-0.013714288,0.029557456,0.011823945,-0.007482046,0.024902666,-0.007923971,-0.039032529,-0.004287789,-0.013008873,0.02306595,0.004251334,-0.014697285,0.046691543,-0.008409162,-0.01048343,-0.026578009,0.003405827,0.01336498,-0.017433306,0.003096329,0.00134418,-0.015051051,-0.009787547,0.005308927,-0.016792298,0.011171055,-0.004411587,-0.002259454,-0.010399488,0.002179151,-0.000167706,-0.002691871,0.008059256,-0.008045365,-0.004007957,0.012316235,0.013604183,-0.01072842,0.00502306,0.002155117,-0.012867103,-0.003127579,-0.037629342,0.007047444,-0.002952905,0.025360834,0.033536671,-0.000526493,-0.000531239,0.001970833,0.007457283,0.024602287,-0.012410534,0.004580412,-0.002716452,-0.010602351,0.008207454,-0.000572309,0.003261474,0.001905155,-0.011754961,-0.004023558,0.010275122,0.002565741,-0.012129298,-0.023810877,0.022405188,0.018245519,0.013457878,0.001038762,-0.02463487,-0.003751351,0.005978766,-0.011847242,0.018792337,0.008969217,-0.002855447,0.00117575,-0.007532599,0.006618589,0.003522709,0.000587749,0.004208308,0.038929513,-0.007027407,0.025516942,0.027035175,0.011126197,-0.024429621,-0.003237914,0.016290857,-0.007358445,-0.004083429,0.004911732,0.003512957,0.006180584,0.020983459,0.003301086,0.039282985,-0.043881187,0.002691168,-0.008495216,0.008966833,-0.006145063,-0.014079385,0.012727866,-0.004937241,0.023984567,-0.000410088
growth,-0.002630134,0.002115154,0.012357739,-0.000751076,0.001163507,0.001204757,0.002140422,0.002678694,-0.00034576,0.001949645,0.007851546,0.005802727,-0.005971094,-0.005068327,0.000832594,0.007561412,0.006259358,-0.002544357,0.001601361,-0.00084739,1.81E-05,0.00507732,-0.000125688,-0.000813067,-0.001399137,0.002323814,0.001779877,0.000181375,0.000465867,0.000338881,-0.00121434,0.000985428,-0.00083625,0.00110872,0.006784185,-0.00594215,0.006391873,-0.006349987,-0.006990746,0.001245963,0.004756939,-0.002366962,0.000244334,-0.007365722,0.00487687,-0.00086598,-0.003171013,0.001510143,-0.000545035,-0.002199537,2.96E-05,0.001963286,0.001219652,0.006067547,-0.002824533,-0.005822775,-0.01001578,-0.007103081,-0.004328058,-0.001152647,-0.007358902,-0.01403536,-0.001221135,-0.001089862,0.004550676,0.004317001,0.003637719,0.002784457,0.001718331,-0.001346715,-0.00231712,-0.001795821,0.005296703,-0.002935821,0.001799579,0.005423467,0.002721161,-0.001145665,0.006008101,-0.000340953,0.001209516,-0.001086395,-0.001048061,-0.002017376,-0.006482647,-0.001790143,0.002599416,-0.00288267,0.003624182,-0.00557833,-0.001211039,0.007461573,0.003583878,-0.001927504,-0.004094544,-0.002387893,-0.005579231,0.003415314,8.78E-05,-0.000810794,0.001935244,-0.001518945,-0.003700234,0.000947124,-0.001982289,0.003169899,0.001217912,-0.004745215,-0.007754519,-0.006254864,0.001249278,-0.002163241,0.005589341,0.007037237,0.011924341,0.001781232,-0.006032862,0.003851217,-0.003554581,0.010043292,0.001909976,-0.000162154,0.005924829,-0.00025156,-0.00048193,-0.012652068,5.00E-05,-0.003702159,0.007214911,0.007741802,0.012467873
residual_volatility,0.002914615,-0.008251191,-0.025073411,0.00322881,-0.000558709,0.016567152,-0.002813822,-0.011342049,0.003007286,-0.021987788,0.001367524,-0.016268578,0.00336119,-0.00525943,-0.011136598,-0.004819935,0.019886935,0.00383821,-0.007275785,-0.012032474,0.014010676,-0.007157754,-0.003178673,-0.002064902,0.016370852,-0.014334294,0.002514789,0.01116058,-0.013831063,-0.008065678,-0.001541441,0.001800372,0.007641955,-0.004938212,0.017276723,-0.006250782,0.007943155,-0.011856253,-0.004138541,0.011465069,-0.003126366,-0.011159337,-0.005025205,0.007178462,-0.032680766,-0.00716321,-0.015651584,0.004183766,-0.014101889,-0.001672158,-0.010812571,0.000358277,-0.007557172,-0.004412048,-0.003865741,-0.014915733,-0.006748837,-0.015673103,-0.011584997,-0.006125969,0.023602632,0.003223774,-0.02681086,-0.014604695,-0.055174254,-0.030823866,-0.023917216,0.033270617,0.026261867,0.026343272,-0.00735124,-0.019853612,0.011376515,0.016567438,-0.007923106,-0.00350766,-0.002389053,-0.009643364,-0.000321283,-0.004318188,0.002536646,0.002828682,-0.006457279,-0.002436064,0.005593898,-0.007149642,-0.011936278,-0.009909318,0.005456145,-0.009004011,0.005731522,-0.005817964,-0.013289746,-0.000235601,0.002750044,-0.002821252,0.010600866,-0.006489205,-0.005270678,-0.013773453,0.004629808,-0.004398038,-0.008573268,0.007690259,-0.00729081,0.018660195,-0.01397258,-0.006748278,0.022575807,0.008807646,-0.004650733,-0.027333955,-0.016209149,-0.006812373,0.002217474,-0.00104285,0.000852626,-0.006556179,-0.002248296,-0.003388324,-0.005203291,-0.024020948,0.004693974,-0.010819887,-0.003703988,-0.018146941,-0.021460628,0.00301142,0.00152736,-0.001117923,-0.004309043
non_linear_size,-0.011156936,-0.014423512,-0.008144132,0.002771788,-0.006745701,-0.015300655,0.001559236,-0.022150461,-0.017542713,0.003565716,-0.010781124,-0.009230408,0.001269978,-0.026640437,0.001672401,-0.013720957,-0.004158208,0.001717671,-0.009052383,-0.021079354,0.008688721,-0.000212433,0.01454792,-0.018439587,0.001658834,-0.016833561,-0.021408992,0.01556654,0.001282788,-0.010083201,-0.016924606,-0.010609577,-0.013705521,-0.01721875,0.01908824,-0.012749651,0.010791451,-0.013827346,-0.009752931,0.032343997,-0.010186599,0.01245982,0.006465276,0.008876503,0.008068823,0.004496327,0.01181911,0.030452089,0.012526792,-0.017477325,-0.002169243,-0.004588014,0.002384899,0.007644959,0.000131104,0.018186574,2.25E-05,-0.013093234,-0.089520471,0.041589259,0.012032255,0.022082189,-0.041057392,0.046018658,-0.057806768,0.015344354,-0.042749261,-0.009233039,-0.004321171,0.016430853,-0.026417648,-0.023347507,0.007354457,0.001453566,-0.011302917,0.00301037,0.004835993,0.007564744,-0.009894209,-0.005513589,-0.002173282,-0.034342617,0.000781287,-0.008660785,-0.033473088,-0.011516386,0.013564196,-0.026964259,0.003148415,-0.014534588,0.007244866,-0.043715788,-0.011178007,0.005422096,0.016461813,-0.006084681,0.008190355,0.005400353,-0.00603089,-0.001845365,0.006121231,-0.017175863,-0.000567843,-0.012967392,0.022582482,-0.009659224,0.029934589,0.001441258,0.018645119,0.022870145,-0.039013959,-0.015717984,-0.02029939,0.014734061,-0.03276548,0.004584391,-0.028825962,0.014728774,0.026867414,0.020304866,0.011055102,-0.017542717,0.051141959,0.065019835,-0.006339098,0.028542324,-0.060803039,-0.05891681,-0.001729122,-0.000618143,-0.057001594
liquidity,0.005340494,-0.002320607,-0.023193551,0.000505795,-0.008391342,-0.012709867,0.003819739,-0.008097094,0.014473482,-0.00591443,0.002616806,-0.006238473,0.001260833,0.002010257,-0.010922702,-0.008131664,0.000929481,-0.007859116,-0.003001432,-0.006746968,-0.007176187,-0.005698741,-0.005502406,0.004476555,0.003490754,-0.003589859,-0.015158562,-0.001516648,0.00358403,-0.006028324,0.007168974,-0.003867757,-0.012579799,-0.009852016,5.68E-05,0.008124136,-0.003732655,-0.003628204,-0.005618407,0.005496089,-0.003212901,0.010585771,-0.006694336,-0.00224636,0.001935214,-0.00383226,0.004890773,0.009246466,-0.005185208,-0.016847209,-0.001519865,0.000518097,0.004959264,-0.008683285,0.001901036,0.000171639,-0.001677547,-0.005331274,0.00882679,-0.016843527,0.001010655,0.002982894,-0.010429005,-0.001891735,-0.014899852,-0.015882631,-0.006069173,-0.008900374,0.001705044,0.001420383,-0.001879284,-0.018862932,-0.007691808,0.002335785,-0.00024944,0.001265462,0.003105296,-0.013544471,-0.00412462,-0.007347846,-0.008254497,-2.00E-05,-0.011978106,-0.006903642,0.000627688,0.002010278,-0.005956623,-0.001727875,-0.001369237,-0.005659667,0.003006431,-0.010962683,-0.005626948,-0.005079249,-0.012123068,-0.000655322,-0.0003336,-0.010437481,-0.010765006,-0.013444352,0.007395696,0.00045831,0.00525402,-0.015650864,-0.004023259,-0.02452631,-0.010298174,-0.003648628,0.011715171,-0.001439696,-0.012633451,-0.005221146,0.001667704,-0.006604238,0.006290821,0.000751549,-0.008134211,-0.004106839,0.011366043,0.000645981,0.013426549,-0.000461853,-0.006899967,0.000888327,-8.11E-05,0.006319899,-0.014891725,-0.014816053,-0.016670467,0.000921846,0.004192408
momentum,0.002254214,0.007403439,0.021861331,0.012754002,-0.004392974,-0.009373074,0.016909159,0.006015128,-0.005393448,0.028263776,0.006803744,-0.001801704,0.000116697,0.002118925,0.014186504,-0.001321075,0.003035401,0.003503564,-0.003427484,-0.007782183,-0.005568765,0.003347462,0.005939819,-0.003033656,-0.012658803,0.020012893,0.001135988,0.006786059,0.004242141,0.014942633,-0.007521525,0.000637936,0.010948924,0.00219361,-0.005280597,-0.005393781,0.001850257,0.01489612,0.021894033,-7.60E-05,0.032523598,0.009140821,-0.012457455,0.017501171,0.00207605,0.004931628,0.019757407,0.028371258,-0.006926113,0.000406757,0.004454368,-0.002080911,0.002585098,-0.022995542,0.009141372,0.000331053,0.005500285,-0.006532722,-0.009414717,0.016128377,-0.010458766,0.005625905,0.045185371,0.016184721,0.042975508,0.028769492,-0.000921839,-0.012267952,-0.010299337,-0.026963647,-0.009964538,0.003432733,-0.011334186,-0.008688874,-0.001185751,-0.00352988,-0.003306911,-0.00355089,-0.001993317,-0.001574298,0.000608316,-0.013319366,0.007458967,0.004788855,-0.001939384,0.014846378,0.010132341,-0.00012536,0.005323555,0.001055422,-0.00646224,-0.000394313,0.021174053,0.011692305,0.020033356,0.004459745,-0.002653433,-0.014622094,0.019545207,0.013999359,0.018676615,-0.002745836,0.007419564,-0.011689068,-0.00926737,-0.012310676,0.004372597,0.029137776,-0.043116922,0.009461057,0.007241605,0.037538983,0.008391744,-0.001376944,0.011366154,-0.003951945,0.000310369,0.007901161,-0.009910557,0.011187066,0.013863025,0.002164459,0.033812599,-0.000651058,0.01455535,0.004042964,0.005818287,0.000724536,0.006398952,-0.026984014,0.055991664
